Experiment commencing at 2024-07-12T17:26:50.827438
2024-07-12 17:27:04.455003 PressureTestState 14.93
2024-07-12 17:27:04.504974 PressureTestState 16.29
2024-07-12 17:27:04.553946 PressureTestState 0.91
2024-07-12 17:27:04.612912 PressureTestState 12.5
2024-07-12 17:27:04.652890 PressureTestState 50.0
2024-07-12 17:27:04.696866 PressureTestState 37.5
2024-07-12 17:27:04.734842 PressureTestState 17.44
2024-07-12 17:27:04.776821 PressureTestState 0.89
2024-07-12 17:27:04.814797 PressureTestState 9.03
2024-07-12 17:27:04.853774 PressureTestState 28.57
2024-07-12 17:27:04.895751 PressureTestState 44.74
2024-07-12 17:27:04.934728 PressureTestState 59.46
2024-07-12 17:27:04.974705 PressureTestState 16.83
2024-07-12 17:27:05.013684 PressureTestState 11.44
2024-07-12 17:27:05.052661 PressureTestState 210.0
2024-07-12 17:27:05.095636 PressureTestState 0.68
2024-07-12 17:27:05.135614 PressureTestState 72.92
2024-07-12 17:27:05.184585 PressureTestState 1.63
2024-07-12 17:27:05.233557 PressureTestState 16.67
2024-07-12 17:27:05.271535 PressureTestState 119.23
2024-07-12 17:27:05.312512 PressureTestState 0.26
2024-07-12 17:27:05.346493 PressureTestState 6.36
2024-07-12 17:27:05.385470 PressureTestState 1.2
2024-07-12 17:27:05.421476 PressureTestState 0.79
2024-07-12 17:27:05.456454 PressureTestState 1.08
2024-07-12 17:27:05.494408 PressureTestState 1.02
2024-07-12 17:27:05.534385 PressureTestState 1.69
2024-07-12 17:27:05.574362 PressureTestState 39.58
2024-07-12 17:27:05.613341 PressureTestState 14.44
2024-07-12 17:27:05.647321 PressureTestState 5.11
2024-07-12 17:27:05.692295 PressureTestState 1.51
2024-07-12 17:27:05.730274 PressureTestState 3.15
2024-07-12 17:27:05.764255 PressureTestState 4.29
2024-07-12 17:27:05.806230 PressureTestState 1.4
2024-07-12 17:27:05.844232 PressureTestState 52.22
2024-07-12 17:27:05.884218 PressureTestState 2.69
2024-07-12 17:27:05.923163 PressureTestState 2.78
2024-07-12 17:27:05.964139 PressureTestState 16.39
2024-07-12 17:27:06.004116 PressureTestState 38.81
2024-07-12 17:27:06.046092 PressureTestState 0.0
2024-07-12 17:27:06.084070 PressureTestState 1.65
2024-07-12 17:27:06.124048 PressureTestState 1550.0
2024-07-12 17:27:06.165025 PressureTestState 14.15
2024-07-12 17:27:06.227989 PressureTestState 6.67
2024-07-12 17:27:06.264968 PressureTestState 233.33
2024-07-12 17:27:06.311960 PressureTestState 9.46
2024-07-12 17:27:06.352918 PressureTestState 1.31
2024-07-12 17:27:06.390896 PressureTestState 33.33
2024-07-12 17:27:06.437869 PressureTestState 700.0
2024-07-12 17:27:06.474848 PressureTestState 70.83
2024-07-12 17:27:06.515826 PressureTestState 0.62
2024-07-12 17:27:06.553839 PressureTestState 2.98
2024-07-12 17:27:06.591781 PressureTestState 0.3
2024-07-12 17:27:06.636754 PressureTestState 5.17
2024-07-12 17:27:06.680730 PressureTestState 21.58
2024-07-12 17:27:06.716711 PressureTestState 0.65
2024-07-12 17:27:06.754687 PressureTestState 3.18
2024-07-12 17:27:06.793664 PressureTestState 8.24
2024-07-12 17:27:06.840639 PressureTestState 16.67
2024-07-12 17:27:06.880616 PressureTestState 68.33
2024-07-12 17:27:06.925590 PressureTestState 0.34
2024-07-12 17:27:06.964568 PressureTestState 0.76
2024-07-12 17:27:07.005567 PressureTestState 1.19
2024-07-12 17:27:07.044521 PressureTestState 0.52
2024-07-12 17:27:07.081501 PressureTestState 50.0
2024-07-12 17:27:07.125475 PressureTestState 10.69
2024-07-12 17:27:07.165453 PressureTestState 0.34
2024-07-12 17:27:07.232413 PressureTestState 3.4
2024-07-12 17:27:07.268393 PressureTestState 29.41
2024-07-12 17:27:07.314366 PressureTestState 5.99
2024-07-12 17:27:07.347348 PressureTestState 11.25
2024-07-12 17:27:07.386328 PressureTestState 6.54
2024-07-12 17:27:07.424303 PressureTestState 15.63
2024-07-12 17:27:07.463281 PressureTestState 5.94
2024-07-12 17:27:07.502259 PressureTestState 24.03
2024-07-12 17:27:07.544235 PressureTestState 28.7
2024-07-12 17:27:07.584212 PressureTestState 6.45
2024-07-12 17:27:07.624189 PressureTestState 7.72
2024-07-12 17:27:07.665166 PressureTestState 12.5
2024-07-12 17:27:07.704143 PressureTestState 4.88
2024-07-12 17:27:07.744120 PressureTestState 14.52
2024-07-12 17:27:07.784098 PressureTestState 150.0
2024-07-12 17:27:07.825074 PressureTestState 39.88
2024-07-12 17:27:07.864083 PressureTestState 6.02
2024-07-12 17:27:07.904030 PressureTestState 1.52
2024-07-12 17:27:07.940009 PressureTestState 2.34
2024-07-12 17:27:07.979986 PressureTestState 9.48
2024-07-12 17:27:08.018965 PressureTestState 38.16
2024-07-12 17:27:08.064938 PressureTestState 10.49
2024-07-12 17:27:08.104915 PressureTestState 3.65
2024-07-12 17:27:08.145891 PressureTestState 8.11
2024-07-12 17:27:08.193864 PressureTestState 12.5
2024-07-12 17:27:08.241836 PressureTestState 15.0
2024-07-12 17:27:08.276816 PressureTestState 8.41
2024-07-12 17:27:08.313795 PressureTestState 11.22
2024-07-12 17:27:08.354772 PressureTestState 12.4
2024-07-12 17:27:08.389751 PressureTestState 5.71
2024-07-12 17:27:08.425730 PressureTestState 31.09
2024-07-12 17:27:08.464708 PressureTestState 1.39
2024-07-12 17:27:08.500688 PressureTestState 583.33
2024-07-12 17:27:08.543663 PressureTestState 0.0
2024-07-12 17:27:08.582641 PressureTestState 5.67
2024-07-12 17:27:08.624617 PressureTestState 10.34
2024-07-12 17:27:08.674588 PressureTestState 1.58
2024-07-12 17:27:08.714567 PressureTestState 51.39
2024-07-12 17:27:08.753567 PressureTestState 0.37
2024-07-12 17:27:08.793521 PressureTestState 22.56
2024-07-12 17:27:08.831519 PressureTestState 0.18
2024-07-12 17:27:08.872476 PressureTestState 0.48
2024-07-12 17:27:08.911474 PressureTestState 14.29
2024-07-12 17:27:08.953440 PressureTestState 3.92
2024-07-12 17:27:08.992432 PressureTestState 0.89
2024-07-12 17:27:09.031402 PressureTestState 0.5
2024-07-12 17:27:09.075383 PressureTestState 4.22
2024-07-12 17:27:09.114337 PressureTestState 10.81
2024-07-12 17:27:09.152316 PressureTestState 10.53
2024-07-12 17:27:09.206285 PressureTestState 3.47
2024-07-12 17:27:09.252257 PressureTestState 66.07
2024-07-12 17:27:09.290237 PressureTestState 1.14
2024-07-12 17:27:09.325244 PressureTestState 0.18
2024-07-12 17:27:09.371191 PressureTestState 1.44
2024-07-12 17:27:09.412203 PressureTestState 11.79
2024-07-12 17:27:09.455142 PressureTestState 5.74
2024-07-12 17:27:09.494120 PressureTestState 14.0
2024-07-12 17:27:09.533098 PressureTestState 44.83
2024-07-12 17:27:09.576076 PressureTestState 19.57
2024-07-12 17:27:09.615051 PressureTestState 14.71
2024-07-12 17:27:09.655028 PressureTestState 0.83
2024-07-12 17:27:09.693025 PressureTestState 4.07
2024-07-12 17:27:09.733983 PressureTestState 6.21
2024-07-12 17:27:09.770962 PressureTestState 24.36
2024-07-12 17:27:09.809964 PressureTestState 10.0
2024-07-12 17:27:09.850916 PressureTestState 5.36
2024-07-12 17:27:09.893891 PressureTestState 11.59
2024-07-12 17:27:09.932869 PressureTestState 52.5
2024-07-12 17:27:09.973845 PressureTestState 11.54
2024-07-12 17:27:10.012824 PressureTestState 6.57
2024-07-12 17:27:10.050803 PressureTestState 70.0
2024-07-12 17:27:10.096775 PressureTestState 157.69
2024-07-12 17:27:10.135763 PressureTestState 14.29
2024-07-12 17:27:10.187724 PressureTestState 24.29
2024-07-12 17:27:10.240692 PressureTestState 7.54
2024-07-12 17:27:10.282668 PressureTestState 12.61
